StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q4_12_TEXT,Q5,Q6,Q7
01/09/2022 09:05,01/09/2022 09:06,Dirección IP,131.178.102.140,100,77,VERDADERO,01/09/2022 09:06,R_2fp4dyjAiwwTThL,,,,,25.6449,-100.311,anonymous,EN,21,2,Acompañado,Accion adulta,,"Palomitas,Bebida,Nachos",200,papas preparadas
01/09/2022 09:05,01/09/2022 09:06,Dirección IP,131.178.102.164,100,84,VERDADERO,01/09/2022 09:06,R_1lboKYgSZHGDpG9,,,,,25.6449,-100.311,anonymous,EN,21,2,Acompañado,Ciencia Ficcion,,Palomitas,350,Hay todo lo que necesito
01/09/2022 09:07,01/09/2022 09:07,Dirección IP,131.178.102.172,100,40,VERDADERO,01/09/2022 09:07,R_3HFVjBOsSR4jSe4,,,,,25.6449,-100.311,anonymous,EN,20,1,Acompañado,Superheroes,,Palomitas,100,Frappes 
01/09/2022 09:07,01/09/2022 09:07,Dirección IP,131.178.102.160,100,55,VERDADERO,01/09/2022 09:07,R_1EgMYhjHk9uJUB1,,,,,25.6449,-100.311,anonymous,EN,20,1,Acompañado,Drama,,Crepas/Pizza,150,Frappes Que estén buenos 
01/09/2022 09:07,01/09/2022 09:08,Dirección IP,132.254.198.200,100,69,VERDADERO,01/09/2022 09:08,R_3MAnSMUvhQd2sCZ,,,,,24.824,-107.5265,anonymous,EN,20,1,Acompañado,Romance,,"Palomitas,Bebida,Nachos",300,Sabritas
01/09/2022 09:09,01/09/2022 09:11,Dirección IP,200.68.163.157,100,88,VERDADERO,01/09/2022 09:11,R_3G7aCG5k15ran8F,,,,,24.6529,-107.263,anonymous,EN,22,0,Acompañado,Horror,,"Palomitas,Bebida,Hotdog,Nachos",300,Takis fuego
01/09/2022 09:12,01/09/2022 09:13,Dirección IP,189.186.206.154,100,48,VERDADERO,01/09/2022 09:13,R_3iyZlVgEcaS1Bqi,,,,,24.6567,-107.1748,anonymous,EN,22,2,Acompañado,Comedia,,"Palomitas,ICEE/Frappe",90,Papas locas
01/09/2022 09:36,01/09/2022 09:37,Dirección IP,131.178.102.184,100,61,VERDADERO,01/09/2022 09:37,R_3sod7p6GSAyZo8L,,,,,25.6449,-100.311,anonymous,EN,21,1,Acompañado,Superheroes,,"Palomitas,Bebida,Hotdog",200,Boneless
01/09/2022 09:55,01/09/2022 09:55,Dirección IP,200.68.180.87,100,43,VERDADERO,01/09/2022 09:55,R_3J8XsFPzJNDJAKO,,,,,24.6529,-107.263,anonymous,EN,21,1,Acompañado,Accion adulta,,Palomitas,200,nueces
01/09/2022 10:03,01/09/2022 10:09,Dirección IP,189.179.202.38,100,354,VERDADERO,01/09/2022 10:09,R_3oGV4CqjhfgpMjR,,,,,27.479,-99.6724,anonymous,EN,19,2,Acompañado,Superheroes,,"Palomitas,ICEE/Frappe",300,Tacos
01/09/2022 12:28,01/09/2022 12:29,Dirección IP,187.161.118.141,100,82,VERDADERO,01/09/2022 12:29,R_3h3dCvLpMw4mVAk,,,,,25.6802,-100.3065,anonymous,EN,20,1,Acompañado,Ciencia Ficcion,,Palomitas,300,Takis 
01/09/2022 13:47,01/09/2022 13:48,Dirección IP,187.167.220.85,100,72,VERDADERO,01/09/2022 13:48,R_10HSp5FQ0c3OAbb,,,,,25.6449,-100.311,anonymous,EN,24,5,Acompañado,Comedia,,"Palomitas,Bebida,Crepas/Pizza",200,Galletas y pan
01/09/2022 14:17,01/09/2022 14:17,Dirección IP,131.178.102.176,100,51,VERDADERO,01/09/2022 14:17,R_1QtGryK8ueh1lOJ,,,,,25.6449,-100.311,anonymous,EN,21,1,Acompañado,Romance,,"Palomitas,ICEE/Frappe,Nachos,Crepas/Pizza",500,helado
03/09/2022 14:00,03/09/2022 14:00,Dirección IP,201.173.125.201,100,22,VERDADERO,03/09/2022 14:00,R_30u6qhARhQWcjZ0,,,,,25.6554,-100.3258,anonymous,EN,22,3,Acompañado,Comedia,,"Palomitas,Bebida,Hotdog",200,Hamburguesa
31/08/2022 11:13,31/08/2022 11:15,Dirección IP,148.246.180.200,38,114,FALSO,07/09/2022 10:14,R_3GBXfKsMEQ9iDOJ,,,,,,,anonymous,EN,20,1,,,,,,
31/08/2022 13:36,31/08/2022 13:37,Dirección IP,189.179.134.255,38,21,FALSO,07/09/2022 10:14,R_suLlVN8zQMBMWKB,,,,,,,anonymous,EN,37,0,,,,,,
31/08/2022 10:38,31/08/2022 10:38,Dirección IP,131.178.102.216,38,30,FALSO,07/09/2022 10:14,R_1hVY4W9UVJKY7dw,,,,,,,anonymous,EN,21,2,,,,,,
01/09/2022 09:13,01/09/2022 09:13,Dirección IP,200.68.164.12,38,12,FALSO,07/09/2022 10:14,R_2rJ9m6KJTr4FeAW,,,,,,,anonymous,EN,21,1,,,,,,
31/08/2022 10:43,31/08/2022 10:51,Dirección IP,170.239.149.244,38,483,FALSO,07/09/2022 10:14,R_V3iPqHFV9dYBt9D,,,,,,,anonymous,EN,20,1,,,,,,
31/08/2022 12:26,31/08/2022 12:27,Dirección IP,201.174.245.101,38,44,FALSO,07/09/2022 10:14,R_2rVf5UgDqQUfMQp,,,,,,,anonymous,EN,20,2,,,,,,
31/08/2022 12:58,31/08/2022 12:59,Dirección IP,189.160.124.100,38,10,FALSO,07/09/2022 10:14,R_1P0jaWOT3AsIGFP,,,,,,,anonymous,EN,21,0,,,,,,
31/08/2022 18:21,31/08/2022 18:21,Dirección IP,187.161.118.141,38,26,FALSO,07/09/2022 10:14,R_12xuY8rMCwDEnkC,,,,,,,anonymous,EN,21,1,,,,,,
